,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port macquarie,-31.43,152.92,75.99,55,74,1.99,AU,1603669884
1,hobyo,5.35,48.53,79.32,82,5,7.18,SO,1603669884
2,dikson,73.51,80.55,19.94,98,100,11.68,RU,1603669884
3,ponta do sol,32.67,-17.1,66.2,68,20,5.82,PT,1603669884
4,plettenberg bay,-34.05,23.37,62.67,90,100,12.55,ZA,1603669884
5,buluang,13.31,123.34,77.43,91,100,15.1,PH,1603669884
6,general roca,-39.03,-67.58,64.4,27,0,10.29,AR,1603669885
7,springfield,37.22,-93.3,46.0,81,90,10.29,US,1603669885
8,minab,27.15,57.08,69.8,35,0,9.17,IR,1603669885
9,bluff,-46.6,168.33,54.0,59,78,5.99,NZ,1603669885
10,ribeira grande,38.52,-28.7,65.14,72,77,5.21,PT,1603669885
11,rikitea,-23.12,-134.97,74.5,82,100,22.55,PF,1603669410
12,khani,41.96,42.96,48.2,81,0,4.7,GE,1603669886
13,yellowknife,62.46,-114.35,28.4,79,75,2.24,CA,1603669886
14,punta arenas,-53.15,-70.92,44.6,81,75,2.24,CL,1603669256
15,ushuaia,-54.8,-68.3,50.0,61,20,1.19,AR,1603669271
16,port elizabeth,-33.92,25.57,62.6,93,75,9.17,ZA,1603669886
17,katsuura,35.13,140.3,63.0,62,75,6.93,JP,1603669324
18,broken hill,-31.95,141.43,53.6,62,40,17.22,AU,1603669463
19,jamestown,42.1,-79.24,45.0,70,90,9.17,US,1603669560
20,roma,43.21,-75.46,46.4,67,90,4.7,US,1603669886
21,wanning,18.8,110.4,77.83,90,100,15.37,CN,1603669638
22,bang saphan,11.21,99.51,78.01,74,76,3.13,TH,1603669887
23,puerto ayora,-0.74,-90.35,68.0,85,53,5.99,EC,1603669438
24,grand gaube,-20.01,57.66,73.0,75,73,8.99,MU,1603669456
25,aksarka,66.56,67.8,12.61,96,100,11.81,RU,1603669887
26,zaltan,32.95,11.87,69.85,72,39,9.51,LY,1603669887
27,hamilton,39.18,-84.53,53.6,66,90,4.7,US,1603669729
28,albany,42.6,-73.97,44.01,54,0,3.44,US,1603669747
29,ancud,-41.87,-73.82,51.01,76,75,13.87,CL,1603669887
30,lokosovo,61.13,74.82,24.03,98,97,9.86,RU,1603669888
31,busselton,-33.65,115.33,71.01,49,0,8.9,AU,1603669888
32,chokurdakh,70.63,147.92,6.12,92,5,9.66,RU,1603669888
33,mankera,31.39,71.44,69.57,31,0,9.82,PK,1603669888
34,paro,27.43,89.41,51.26,64,29,2.42,BT,1603669888
35,tuktoyaktuk,69.45,-133.04,19.4,92,90,18.34,CA,1603669888
36,faanui,-16.48,-151.75,79.92,73,12,7.81,PF,1603669888
37,cape town,-33.93,18.42,60.8,77,0,13.87,ZA,1603669864
38,hokitika,-42.72,170.97,59.38,97,100,12.03,NZ,1603669888
39,iqaluit,63.75,-68.51,14.0,85,75,3.36,CA,1603669888
40,atuona,-9.8,-139.03,78.93,75,2,20.69,PF,1603669889
41,kaitangata,-46.28,169.85,52.0,67,98,5.99,NZ,1603669889
42,butaritari,3.07,172.79,81.28,71,50,9.17,KI,1603669889
43,juegang,32.32,121.19,63.0,1,56,4.76,CN,1603669889
44,east london,-33.02,27.91,66.18,70,97,1.45,ZA,1603669889
45,upernavik,72.79,-56.15,13.91,76,65,4.88,GL,1603669889
46,waitakere,-36.92,174.66,72.0,64,0,8.05,NZ,1603669889
47,meadow lake,34.8,-106.54,75.0,21,90,6.93,US,1603669889
48,turan,16.07,108.22,73.4,94,75,1.12,VN,1603669890
49,cocorit,27.58,-109.97,93.2,24,20,11.41,MX,1603669890
50,vidim,56.41,103.11,19.33,95,7,3.18,RU,1603669890
51,vardo,70.37,31.11,33.8,80,75,21.92,NO,1603669890
52,iskateley,67.68,53.15,14.5,96,2,8.57,RU,1603669890
53,hofn,64.25,-15.21,43.39,75,100,12.33,IS,1603669890
54,asau,46.43,26.4,53.01,98,100,2.19,RO,1603669890
55,lorengau,-2.02,147.27,84.6,72,100,4.63,PG,1603669890
56,paamiut,61.99,-49.67,36.28,84,98,7.99,GL,1603669645
57,norman wells,65.28,-126.83,30.2,92,75,12.75,CA,1603669891
58,vaini,-21.2,-175.2,73.4,88,90,12.75,TO,1603669891
59,yulara,-25.24,130.99,66.2,27,24,20.8,AU,1603669891
60,bayan,46.08,127.4,40.23,71,6,2.42,CN,1603669891
61,kapaa,22.08,-159.32,84.0,74,40,9.17,US,1603669891
62,umea,63.83,20.26,48.2,100,100,14.99,SE,1603669598
63,avarua,-21.21,-159.78,77.0,69,79,10.29,CK,1603669891
64,port augusta,-32.5,137.77,55.4,43,90,9.17,AU,1603669891
65,bethel,41.37,-73.41,48.2,61,90,3.36,US,1603669891
66,karratha,-20.74,116.85,74.17,58,87,13.6,AU,1603669891
67,mnogovershinnyy,53.94,139.92,30.74,98,76,9.93,RU,1603669892
68,noumea,-22.28,166.46,86.0,42,0,10.29,NC,1603669892
69,kashi,39.45,75.98,48.2,77,40,8.95,CN,1603669892
